id,title,rating,review_count,review_url,address
6,Trip 'N Taxi,4.5 of 5 bubbles,192 reviews,https://www.tripadvisor.com/Attraction_Review-g309253-d12236155-Reviews-Trip_N_Taxi-Tamarindo_Province_of_Guanacaste.html#REVIEWS,"|||Playa tamarindo, Tamarindo"
7,Rock Springs Run Trail Rides,4.5 of 5 bubbles,159 reviews,https://www.tripadvisor.com/Attraction_Review-g34641-d4341900-Reviews-Rock_Springs_Run_Trail_Rides-Sorrento_Lake_County_Florida.html#REVIEWS,"|||31700 County Road 433, Sorrento"
8,LunaSea Alpaca Farm,4.5 of 5 bubbles,19 reviews,https://www.tripadvisor.com/Attraction_Review-g34219-d16639872-Reviews-LunaSea_Alpaca_Farm-Ferndale_Lake_County_Florida.html#REVIEWS,"|||18810 Lone Dove Ln, Ferndale"
9,Victoria Hills Golf Club,4.5 of 5 bubbles,64 reviews,https://www.tripadvisor.com/Attraction_Review-g34178-d269404-Reviews-Victoria_Hills_Golf_Club-DeLand_Florida.html#REVIEWS,"|||300 Spalding Way, DeLand"
10,Statue of Geoffrey Chaucer,4.5 of 5 bubbles,81 reviews,https://www.tripadvisor.com/Attraction_Review-g186311-d11847695-Reviews-Statue_of_Geoffrey_Chaucer-Canterbury_Kent_England.html#REVIEWS,"|||Best Lane, Canterbury"
11,Sanctuary Ridge Golf Club,4.5 of 5 bubbles,67 reviews,https://www.tripadvisor.com/Attraction_Review-g34142-d611912-Reviews-Sanctuary_Ridge_Golf_Club-Clermont_Lake_County_Florida.html#REVIEWS,"|||2601 Diamond Club Drive, Clermont"
12,Winter Haven Watersports,4.5 of 5 bubbles,78 reviews,https://www.tripadvisor.com/Attraction_Review-g34746-d7106903-Reviews-Winter_Haven_Watersports-Winter_Haven_Florida.html#REVIEWS,"|||1006 S Lake Howard Dr, Winter Haven"
13,Perfect Vodka Amphitheatre,4.5 of 5 bubbles,151 reviews,https://www.tripadvisor.com/Attraction_Review-g34731-d4875082-Reviews-Perfect_Vodka_Amphitheatre-West_Palm_Beach_Florida.html#REVIEWS,"|||601 Sansburys Way # 7, West Palm Beach"
14,Pacific Horses,4.5 of 5 bubbles,143 reviews,https://www.tripadvisor.com/Attraction_Review-g309242-d13384248-Reviews-Pacific_Horses-Playa_Conchal_Province_of_Guanacaste.html#REVIEWS,"|||Playa Brasilito, Playa Conchal"
15,Lake Meadow Naturals,4.5 of 5 bubbles,22 reviews,https://www.tripadvisor.com/Attraction_Review-g34499-d8552080-Reviews-Lake_Meadow_Naturals-Ocoee_Florida.html#REVIEWS,"|||10000 Mark Adam Rd, Ocoee"
16,Essential Therapies Spa,4.5 of 5 bubbles,25 reviews,https://www.tripadvisor.com/Attraction_Review-g34461-d1717785-Reviews-Essential_Therapies_Spa-Mount_Dora_Lake_County_Florida.html#REVIEWS,"|||1518 N Donnelly St, Mount Dora"
17,TopGolf Dallas,4.5 of 5 bubbles,298 reviews,https://www.tripadvisor.com/Attraction_Review-g55711-d1869237-Reviews-TopGolf_Dallas-Dallas_Texas.html#REVIEWS,"|||8787 Park Ln, Dallas"
18,Curi Cancha Reserve,4.5 of 5 bubbles,"1,651 reviews",https://www.tripadvisor.com/Attraction_Review-g951347-d2464608-Reviews-Curi_Cancha_Reserve-Monteverde_Province_of_Puntarenas.html#REVIEWS,"|||300 meters west of the Monteverde Cheese Factory, Monteverde"
19,Aventuras Mayas,4.5 of 5 bubbles,"9,122 reviews",https://www.tripadvisor.com/Attraction_Review-g150812-d872614-Reviews-Aventuras_Mayas-Playa_del_Carmen_Yucatan_Peninsula.html#REVIEWS,|||Playa del Carmen
20,Chimelong Ocean Kingdom,4.5 of 5 bubbles,586 reviews,https://www.tripadvisor.com/Attraction_Review-g297418-d6419024-Reviews-Chimelong_Ocean_Kingdom-Zhuhai_Guangdong.html#REVIEWS,"Fuxiangwan, Hengqin New Area, Zhuhai, Guangdong, China|||"
21,Miss Cape Canaveral Deep Sea Fishing,4.5 of 5 bubbles,175 reviews,https://www.tripadvisor.com/Attraction_Review-g34574-d1028995-Reviews-Miss_Cape_Canaveral_Deep_Sea_Fishing-Port_Canaveral_Brevard_County_Florida.html#REVIEWS,"670 Glen Cheek Dr, Port Canaveral, Brevard County, Florida|||"
22,The Simpsons in 4D,4.5 of 5 bubbles,91 reviews,https://www.tripadvisor.com/Attraction_Review-g54359-d17514103-Reviews-The_Simpsons_in_4D-Myrtle_Beach_South_Carolina.html#REVIEWS,"1199 Celebrity Cir, Myrtle Beach, South Carolina|||"
23,Alexandro Adventure Travel,4.5 of 5 bubbles,728 reviews,https://www.tripadvisor.com/Attraction_Review-g317032-d12279813-Reviews-Alexandro_Adventure_Travel-Tupiza_Potosi_Department.html#REVIEWS,"Tupiza, Potosi Department, Bolivia|||"
24,Essentials Spa & Salon Metrowest,4.5 of 5 bubbles,16 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d12433980-Reviews-Essentials_Spa_Salon_Metrowest-Orlando_Florida.html#REVIEWS,"1507 Park Center Dr, Orlando, Florida|||"
25,Sunny Luxury Transportation,4.5 of 5 bubbles,18 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d8366678-Reviews-Sunny_Luxury_Transportation-Orlando_Florida.html#REVIEWS,"2716 Youngford St, Orlando, Florida|||"
26,Devil's Den,4.5 of 5 bubbles,482 reviews,https://www.tripadvisor.com/Attraction_Review-g34740-d123106-Reviews-Devil_s_Den-Williston_Florida.html#REVIEWS,"5390 NE 180th Ave, Williston, Florida|||"
27,Savoy Orlando,4.5 of 5 bubbles,2 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d10213007-Reviews-Savoy_Orlando-Orlando_Florida.html#REVIEWS,"1913 N Orange Ave, Orlando, Florida|||"
28,Monkey Joe's,4.5 of 5 bubbles,42 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d6435451-Reviews-Monkey_Joe_s-Orlando_Florida.html#REVIEWS,"9101 International Dr, Orlando, Florida|||"
29,Red Stripe Beach,4.5 of 5 bubbles,153 reviews,https://www.tripadvisor.com/Attraction_Review-g612473-d7274291-Reviews-Red_Stripe_Beach-Falmouth_Trelawny_Parish_Jamaica.html#REVIEWS,"Falmouth, Trelawny Parish, Jamaica, Caribbean|||"
30,Randy's Mobility Rentals,4.5 of 5 bubbles,10 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d13340799-Reviews-Randy_s_Mobility_Rentals-Orlando_Florida.html#REVIEWS,"999 W Lancaster Rd, Orlando, Florida|||"
0,Old Town Portrait Gallery,4.5 of 5 bubbles,85 reviews,https://www.tripadvisor.com/Attraction_Review-g34352-d4559628-Reviews-Old_Town_Portrait_Gallery-Kissimmee_Florida.html#REVIEWS,"|||5770 W Irlo Bronson Memorial Hwy, Kissimmee"
1,Old Town Portrait Gallery,4.5 of 5 bubbles,85 reviews,https://www.tripadvisor.com/Attraction_Review-g34352-d4559628-Reviews-Old_Town_Portrait_Gallery-Kissimmee_Florida.html#REVIEWS,"|||5770 W Irlo Bronson Memorial Hwy, Kissimmee"
2,Osceola Outback Adventures,4.5 of 5 bubbles,68 reviews,https://www.tripadvisor.com/Attraction_Review-g34601-d8838538-Reviews-Osceola_Outback_Adventures-Saint_Cloud_Florida.html#REVIEWS,"|||800 Hennecy Ln, Saint Cloud"
3,Soaring H2O,4.5 of 5 bubbles,17 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d8641609-Reviews-Soaring_H2O-Orlando_Florida.html#REVIEWS,"|||5638 Randolph ave, Orlando"
4,Azulejos de Goa,4.5 of 5 bubbles,6 reviews,https://www.tripadvisor.com/Attraction_Review-g303877-d12906869-Reviews-Azulejos_de_Goa-Panjim_North_Goa_District_Goa.html#REVIEWS,"|||M. G. Road, Panjim"
5,Axe On Axe Off,4.5 of 5 bubbles,19 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d17701680-Reviews-Axe_On_Axe_Off-Orlando_Florida.html#REVIEWS,"|||1355 Sand Lake Rd, Orlando"
6,Stumpy's Hatchet House - Axe Throwing,4.5 of 5 bubbles,15 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d17784658-Reviews-Stumpy_s_Hatchet_House_Axe_Throwing-Orlando_Florida.html#REVIEWS,"|||8462 Palm Pkwy, Orlando"
7,Great Outdoors RV Resort,4.5 of 5 bubbles,63 reviews,https://www.tripadvisor.com/Attraction_Review-g60751-d146924-Reviews-Great_Outdoors_RV_Resort-Titusville_Brevard_County_Florida.html#REVIEWS,"|||4505 Cheney Hwy, Titusville"
8,Boom-Art By Rogers Studio,4.5 of 5 bubbles,10 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d787967-Reviews-Boom_Art_By_Rogers_Studio-Orlando_Florida.html#REVIEWS,"|||1821 N Orange Ave, Orlando"
9,DeBary Hall Historic Site,4.5 of 5 bubbles,72 reviews,https://www.tripadvisor.com/Attraction_Review-g34175-d647117-Reviews-DeBary_Hall_Historic_Site-DeBary_Florida.html#REVIEWS,"|||210 Sunrise Blvd, DeBary"
10,Ox Outfitters,4.5 of 5 bubbles,18 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d23959334-Reviews-Ox_Outfitters-Orlando_Florida.html#REVIEWS,|||Orlando
11,Space Port Transport,4.5 of 5 bubbles,11 reviews,https://www.tripadvisor.com/Attraction_Review-g34117-d10067953-Reviews-Space_Port_Transport-Cape_Canaveral_Brevard_County_Florida.html#REVIEWS,|||Cape Canaveral
12,Jones Brothers Air and Sea Adventures,4.5 of 5 bubbles,39 reviews,https://www.tripadvisor.com/Attraction_Review-g34461-d7645046-Reviews-Jones_Brothers_Air_and_Sea_Adventures-Mount_Dora_Lake_County_Florida.html#REVIEWS,"|||411 N Donnelly St Ste 203, Mount Dora"
13,Wally's On Mills,4.5 of 5 bubbles,9 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d7682558-Reviews-Wally_s_On_Mills-Orlando_Florida.html#REVIEWS,"|||1001 N Mills Ave, Orlando"
14,City Arts,4.5 of 5 bubbles,18 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d6362842-Reviews-City_Arts-Orlando_Florida.html#REVIEWS,"|||39 S Magnolia Ave, Orlando"
15,Buffalo Double Decker Bus Tours,4.5 of 5 bubbles,620 reviews,https://www.tripadvisor.com/Attraction_Review-g60974-d12638465-Reviews-Buffalo_Double_Decker_Bus_Tours-Buffalo_New_York.html#REVIEWS,"|||1 Naval Park CV, Buffalo"
16,Frosty's Christmastime Lounge,4.5 of 5 bubbles,12 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d11653347-Reviews-Frosty_s_Christmastime_Lounge-Orlando_Florida.html#REVIEWS,"|||50 E Central Blvd, Orlando"
17,The Loop & The Loop West,4.5 of 5 bubbles,202 reviews,https://www.tripadvisor.com/Attraction_Review-g34352-d4776429-Reviews-The_Loop_The_Loop_West-Kissimmee_Florida.html#REVIEWS,"|||3208 N John Young Pkwy, Kissimmee"
18,Food Fun Adventure Day Tours,4.5 of 5 bubbles,23 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d3347103-Reviews-Food_Fun_Adventure_Day_Tours-Orlando_Florida.html#REVIEWS,"|||37 N Orange Ave, Orlando"
19,Universal City Walk Osaka,4.5 of 5 bubbles,345 reviews,https://www.tripadvisor.com/Attraction_Review-g298566-d1896860-Reviews-Universal_City_Walk_Osaka-Osaka_Osaka_Prefecture_Kinki.html#REVIEWS,"|||6-2-61 Shimaya, Konohana-ku, Osaka"
20,Movieland Hollywood Park,4.5 of 5 bubbles,"3,862 reviews",https://www.tripadvisor.com/Attraction_Review-g194789-d1885437-Reviews-Movieland_Hollywood_Park-Lazise_Province_of_Verona_Veneto.html#REVIEWS,"|||Via Fossalta 58, Lazise"
21,The Ganachery,4.5 of 5 bubbles,135 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d9715151-Reviews-The_Ganachery-Orlando_Florida.html#REVIEWS,"|||1486 E Buena Vista Dr, Orlando"
22,Alexander Springs,4.5 of 5 bubbles,316 reviews,https://www.tripadvisor.com/Attraction_Review-g29163-d146918-Reviews-Alexander_Springs-Altoona_Lake_County_Florida.html#REVIEWS,"|||49525 County Road 445, Altoona"
23,Central Florida Airboat Tours,4.5 of 5 bubbles,81 reviews,https://www.tripadvisor.com/Attraction_Review-g34144-d1812746-Reviews-Central_Florida_Airboat_Tours-Cocoa_Brevard_County_Florida.html#REVIEWS,|||Cocoa
24,Beachside Helicopters,4.5 of 5 bubbles,79 reviews,https://www.tripadvisor.com/Attraction_Review-g34436-d5324653-Reviews-Beachside_Helicopters-Merritt_Island_Brevard_County_Florida.html#REVIEWS,"|||475 Manor Dr, Merritt Island"
25,Lagooner Fishing Guides,4.5 of 5 bubbles,45 reviews,https://www.tripadvisor.com/Attraction_Review-g34145-d6651250-Reviews-Lagooner_Fishing_Guides-Cocoa_Beach_Brevard_County_Florida.html#REVIEWS,"|||204 Garfield Ave, Cocoa Beach"
26,Lake Jesup,4.5 of 5 bubbles,30 reviews,https://www.tripadvisor.com/Attraction_Review-g34615-d270739-Reviews-Lake_Jesup-Sanford_Florida.html#REVIEWS,|||Sanford
27,Fifth Avenue Transportation,4.5 of 5 bubbles,7 reviews,https://www.tripadvisor.com/Attraction_Review-g34467-d8474480-Reviews-Fifth_Avenue_Transportation-Naples_Florida.html#REVIEWS,|||Naples
28,USTA National Campus,4.5 of 5 bubbles,10 reviews,https://www.tripadvisor.com/Attraction_Review-g34515-d16735437-Reviews-USTA_National_Campus-Orlando_Florida.html#REVIEWS,"|||10000 Usta Blvd, Orlando"
29,Vero Beach Outlets,4.5 of 5 bubbles,199 reviews,https://www.tripadvisor.com/Attraction_Review-g34709-d6582804-Reviews-Vero_Beach_Outlets-Vero_Beach_Florida.html#REVIEWS,"|||1824 94th Dr, Vero Beach"
